Room_ID,Floor,Square_Feet,Cleaning_Time_Hours
1,3,682,1.8145454545454547
2,9,223,0.5627272727272727
3,7,506,1.3345454545454545
4,1,561,1.4845454545454546
5,14,424,1.1109090909090908
6,10,317,0.8190909090909091
7,13,671,1.7845454545454547
8,14,583,1.5445454545454547
9,9,509,1.3427272727272728
10,1,450,1.1818181818181819
11,4,623,1.6536363636363638
12,6,679,1.8063636363636364
13,5,261,0.6663636363636364
14,3,281,0.7209090909090909
15,14,628,1.6672727272727275
16,12,620,1.6454545454545455
17,12,219,0.5518181818181818
18,12,720,1.9181818181818182
19,12,404,1.0563636363636364
20,12,660,1.7545454545454546
21,13,271,0.6936363636363636
22,8,572,1.5145454545454546
23,3,740,1.9727272727272729
24,5,435,1.140909090909091
25,5,650,1.7272727272727273
26,13,389,1.0154545454545456
27,12,466,1.2254545454545456
28,5,529,1.3972727272727274
29,12,240,0.6090909090909091
30,11,598,1.5854545454545454
31,6,341,0.8845454545454545
32,6,350,0.9090909090909092
33,4,243,0.6172727272727273
34,13,679,1.8063636363636364
35,9,320,0.8272727272727273
36,5,623,1.6536363636363638
37,13,462,1.2145454545454546
38,13,270,0.6909090909090909
39,3,616,1.6345454545454547
40,5,456,1.1981818181818182
41,11,627,1.6645454545454546
42,10,617,1.6372727272727274
43,10,353,0.9172727272727272
44,12,242,0.6145454545454545
45,7,404,1.0563636363636364
46,8,339,0.8790909090909091
47,11,545,1.440909090909091
48,2,596,1.58
49,4,337,0.8736363636363637
50,7,337,0.8736363636363637
51,11,612,1.6236363636363638
52,2,645,1.7136363636363636
