Week,Product,Intercept,Own_Price_Coefficient,Cross_Price_Coefficient
1,TechFit Smartwatch,294.306794322898,-1.4914293088352972,0.2815132947852186
1,PowerSound Earbuds,274.7876687446625,-1.5896170769643703,0.2511102277086097
2,TechFit Smartwatch,268.63944964748674,-1.9230200901712071,0.15795029058275362
2,PowerSound Earbuds,248.36638617620133,-1.070302347657427,0.2616240759128834
3,TechFit Smartwatch,390.021126953127,-1.1285394098122823,0.2607344153798229
3,PowerSound Earbuds,255.97101766581073,-1.1074410015100222,0.20786844838313012
4,TechFit Smartwatch,442.23204654921875,-1.1039087000765067,0.16360069499437277
4,PowerSound Earbuds,233.01557735830303,-1.7720648374580583,0.18542155772525126
5,TechFit Smartwatch,445.404429776748,-1.1392694167436566,0.10139042610623815
5,PowerSound Earbuds,353.2241907732697,-1.582588996851221,0.14442156209414606
6,TechFit Smartwatch,235.95961020010483,-1.662384828596372,0.2885819407825038
6,PowerSound Earbuds,296.96087960622657,-1.4812093782566338,0.24060379177903557
7,TechFit Smartwatch,309.08888071378817,-1.0282179172790393,0.29248945898842227
7,PowerSound Earbuds,275.53468874760927,-1.5027514941076145,0.16017566196335392
8,TechFit Smartwatch,285.4521483132403,-1.9631130526454672,0.22191286679597938
8,PowerSound Earbuds,350.80370696865845,-1.9485212487500108,0.1557292928473223
9,TechFit Smartwatch,472.4797657899961,-1.7604381093330277,0.12897897441824463
9,PowerSound Earbuds,346.8358280832689,-1.0143495458893992,0.1484110543023001
10,TechFit Smartwatch,401.6406642217636,-1.2383803846712824,0.14752750879847992
10,PowerSound Earbuds,418.4649045835579,-1.6322168672807469,0.2264611661187159
11,TechFit Smartwatch,390.0589132282684,-1.4642253159252414,0.11805795401088166
11,PowerSound Earbuds,450.5907486767714,-1.6792199350282642,0.13730370207997084
12,TechFit Smartwatch,212.23254246642918,-1.409107056811758,0.23551287236845647
12,PowerSound Earbuds,204.97634867835686,-1.487906941700719,0.1452991550395876
13,TechFit Smartwatch,393.55183712283497,-1.8256335709950084,0.23818754762049318
13,PowerSound Earbuds,316.0206038901612,-1.0632700112632656,0.12750418882919864
14,TechFit Smartwatch,302.31990531507756,-1.886526478759411,0.28493872365571254
14,PowerSound Earbuds,463.2018060142943,-1.7420583722848444,0.2319968092068358
15,TechFit Smartwatch,445.16666006036473,-1.4447991884005376,0.20593011567120129
15,PowerSound Earbuds,272.55568727013554,-1.9068972321941007,0.27944315159066535
16,TechFit Smartwatch,470.12541714899913,-1.366898542726732,0.16780595820974015
16,PowerSound Earbuds,304.76287238379825,-1.2740443211297605,0.2794220519905154
17,TechFit Smartwatch,466.1259272795352,-1.2201244541423761,0.22840632923085755
17,PowerSound Earbuds,225.24198949851464,-1.8383712859053862,0.2797108377054158
